Designator,Mid X,Mid Y,Rotation,Layer
,156.4,-171.45,90.0,top
S1,152.4,-152.4,180.0,top
S10,209.55,-152.4,180.0,top
S11,209.55,-133.35,180.0,top
S12,209.55,-114.3,180.0,top
S13,228.6,-152.4,180.0,top
S14,228.6,-133.35,180.0,top
S15,228.6,-114.3,180.0,top
S16,199.299,-176.2125,180.0,top
S17,218.349,-176.2125,180.0,top
S18,237.399,-176.2125,180.0,top
S2,152.4,-133.35,180.0,top
S3,152.4,-114.3,180.0,top
S4,171.45,-152.4,180.0,top
S5,171.45,-133.35,180.0,top
S6,171.45,-114.3,180.0,top
S7,190.5,-152.4,180.0,top
S8,190.5,-133.35,180.0,top
S9,190.5,-114.3,180.0,top
TRRS1,243.84,-152.4,0.0,top
_4,208.824,-166.6875,0.0,top
_5,161.925,-123.825,0.0,top
_6,219.075,-123.825,0.0,top
